Row Count,395
Decision Time Offset,0.072
Time Interval Per Beat,0.759981383
2,8
3,9
1,10
0,11
1,12
0,13
2,14
3,15
2,16
3,17
1,18.25
1,18.5
0,19
1,20
0,21
2,22.25
2,22.5
3,23
2,24
3,25
1,26.25
1,26.5
0,27
1,28
1,28.5
0,29
3,29.75
2,30.25
2,30.5
3,31
2,32
0,33
1,34.25
1,34.5
0,35
3,36
0,37
0,37.75
1,38.25
1,38.5
0,39
1,40
3,41
2,42.25
2,42.5
3,43
0,44
2,44.5
3,45
3,45.75
2,46.25
2,46.5
3,47
0,47.5
1,48
2,48
0,49
3,50
0,51
0,52
3,52
2,53
1,54
2,55
0,56
1,56
2,57
3,57.25
2,57.5
1,58
0,59
2,60
3,60
1,61
0,61.25
1,61.5
2,62
3,63
1,64
2,64
0,65
3,66
0,67
1,67.5
2,67.75
0,68
3,68
2,69
1,70
2,71
0,71.5
3,71.75
0,72
1,72
2,73
3,73.25
2,73.5
1,74
0,75
2,76
3,76
1,77
0,77.25
1,77.5
2,78
3,79
0,80
1,80
0,81
1,81.25
2,82
3,82.25
2,83
3,83
1,84
2,84
0,85
3,85
0,86
1,86.25
2,86.5
0,87
3,87
3,87.5
2,87.75
0,88
1,88
0,89
1,89.25
2,90
3,90.25
2,91
3,91
1,92
2,92
0,93
3,93
0,94
1,94.25
2,94.5
0,95
3,95
3,95.5
2,95.75
0,96
1,96
1,96.5
0,97
2,97.25
0,97.75
3,98
2,98.75
1,99.5
0,100
1,100
1,100.5
0,101
1,101.25
0,101.75
2,102
2,102.75
3,103
3,103.25
2,103.5
2,103.75
0,104
1,104
1,104.5
0,105
2,105.25
0,105.75
2,106
3,106
1,106.75
2,106.75
0,107.5
1,107.5
2,108
3,108.5
1,109
0,109.5
1,110
0,110.25
0,110.5
1,110.75
3,111
3,111.25
2,111.5
2,111.75
0,112
1,112.1
2,112.2
3,112.3
3,113
3,114
2,114.1
1,114.2
0,114.3
0,115
0,116
1,116.1
2,116.2
3,116.3
3,117
3,118
2,118.1
1,118.2
0,118.3
0,119
0,120
1,120.1
2,120.2
3,120.3
2,121
3,121
3,122
2,122.1
1,122.2
0,122.3
0,123
1,123
0,124
1,124.1
2,124.2
3,124.3
0,125
3,125
3,126
2,126.1
1,126.2
0,126.3
1,127
2,127
0,128
1,128
1,128.5
0,129
1,129.5
2,130
3,130
2,130.5
3,131
2,131.5
1,132
2,132
0,132.5
3,132.5
1,133
2,133
3,133.5
0,134
0,134.5
1,135
1,135.5
2,136
3,136
2,136.5
3,137
2,137.5
0,138
1,138
1,138.5
0,139
1,139.5
1,140
2,140
0,140.5
3,140.5
1,141
2,141
0,141.5
3,142
3,142.5
2,143
2,143.5
1,144
2,144
0,145
3,145
1,145.25
2,145.25
0,146
3,146
1,146.25
2,146.25
1,147
2,147
2,147.5
1,148
2,148
1,148.5
1,149
2,149
2,149.5
0,150
1,150.25
2,150.5
3,150.75
3,151
2,151.25
1,151.5
0,151.75
1,152
2,152
0,153
3,153
1,153.25
2,153.25
0,154
3,154
1,154.25
2,154.25
1,155
2,155
2,155.5
1,156
2,156
1,156.5
1,157
2,157
2,157.5
3,158
2,158.25
1,158.5
0,158.75
0,159
1,159.25
2,159.5
3,159.75
1,160
2,160
3,160.5
0,161
3,161
1,161.25
2,161.5
0,162
2,162
1,162.25
3,162.5
0,163
3,163
2,163.5
0,164
2,164
3,164.5
0,165
3,165
2,165.5
1,166
2,166
1,166.25
0,166.5
3,166.5
0,167
3,167
0,167.5
2,167.5
1,167.75
1,168
2,168
0,168.5
0,169
3,169
2,169.25
1,169.5
1,170
3,170
2,170.25
0,170.5
0,171
3,171
1,171.5
1,172
3,172
0,172.5
0,173
3,173
1,173.5
1,174
2,174
2,174.25
0,174.5
3,174.5
0,175
3,175
1,175.25
2,175.25
1,175.5
2,175.5
0,175.75
3,175.75
